conversationID,sourceID,targetID,productID,message,createdAt,msgStatus,priceFixed
1,26,13,7,"cursus vestibulum proin eu mi nulla ac enim in tempor turpis","2021-07-13 03:39:45",1,84.06
2,91,93,34,eu,"2020-11-26 13:09:29",0,78.91
3,58,47,39,"duis faucibus","2020-10-09 12:12:12",1,68.04
4,39,69,88,"sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget","2021-03-21 20:53:25",0,71.59
5,76,74,72,"condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum","2020-10-20 16:24:51",1,3.36
6,14,6,10,"mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam","2021-01-26 10:11:23",1,90.23
7,23,32,36,"pellentesque ultrices mattis odio donec vitae","2021-01-29 02:06:46",0,59.35
8,12,89,42,"volutpat sapien arcu sed augue","2020-10-17 01:58:46",0,14.8
9,53,64,57,"vehicula consequat morbi a ipsum integer","2021-06-14 17:21:16",1,35.84
10,30,79,59,turpis,"2021-08-06 11:04:11",0,33.37
11,43,3,95,nulla,"2021-02-06 08:44:32",0,62.85
12,78,36,64,"nulla integer pede justo lacinia eget tincidunt eget tempus","2021-01-16 07:37:28",1,35.27
13,23,76,41,"eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est","2021-03-28 14:45:06",1,15.44
14,93,94,4,"eu magna vulputate luctus cum sociis natoque penatibus","2021-07-23 08:56:06",0,67.48
15,19,61,19,"nunc vestibulum ante ipsum primis","2021-05-11 15:44:45",0,4.25
16,37,77,12,orci,"2021-05-10 13:15:02",0,58.48
17,57,43,67,"sapien cursus vestibulum proin eu mi nulla ac enim in","2020-12-13 08:04:52",0,16.84
18,18,99,24,"eros elementum pellentesque quisque porta volutpat erat quisque erat","2021-01-30 10:39:12",0,3.43
19,27,89,65,sapien,"2020-10-31 11:27:30",1,78.63
20,58,62,10,"felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem","2020-11-12 17:43:10",0,73.73
21,12,75,62,"consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu","2020-12-20 12:38:46",0,36.48
22,27,99,41,"pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus","2021-07-09 15:28:40",1,52.3
23,76,73,63,"fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam","2021-06-01 14:25:53",1,32.3
24,59,68,77,"commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit","2021-03-27 05:34:51",1,72.06
25,43,13,21,"dui maecenas tristique est et tempus","2021-01-05 13:21:07",1,45.15
26,24,26,21,"tempus vivamus in felis","2021-06-11 02:07:28",1,87.85
27,95,22,95,"curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue","2020-10-13 01:22:22",1,83.15
28,93,26,86,"sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque","2021-07-03 17:57:36",0,46.78
29,86,89,75,"faucibus accumsan odio curabitur convallis","2021-09-07 21:04:57",0,74.09
30,65,20,58,"faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat","2020-11-08 01:37:06",0,66.77
31,5,100,23,"lobortis sapien sapien non mi integer ac neque duis","2021-02-01 09:17:26",0,14.63
32,41,13,6,"nulla mollis","2020-09-27 01:41:02",0,62.13
33,26,8,10,"ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas","2021-01-06 18:50:04",0,90.13
34,89,41,51,"dolor quis","2021-04-25 08:13:12",0,81.95
35,95,91,86,"porttitor lorem id ligula suspendisse ornare consequat lectus in","2021-06-17 07:07:30",0,57.07
36,26,52,16,"massa quis augue luctus tincidunt","2021-08-03 21:08:52",0,58.55
37,99,38,83,"nonummy integer non velit donec diam neque","2021-08-25 13:29:08",1,22.39
38,29,29,76,integer,"2020-12-17 12:05:39",1,1.36
39,29,78,15,"tellus nulla ut erat id mauris vulputate elementum nullam varius","2021-01-29 05:32:16",1,30.77
40,65,33,73,"cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut","2021-09-08 05:51:13",0,56.75
41,57,51,47,"at dolor quis odio consequat varius","2020-11-14 22:58:57",1,47.46
42,51,8,89,"rutrum nulla tellus in sagittis dui vel nisl duis ac nibh","2021-01-15 19:03:30",1,87.11
43,91,3,5,"tempus semper est quam pharetra","2021-04-20 16:55:22",0,16.06
44,35,4,51,"sed nisl nunc rhoncus dui vel sem sed sagittis","2021-05-05 14:52:39",0,53.62
45,92,87,100,"platea dictumst aliquam","2020-09-19 20:34:52",1,90.99
46,2,79,11,"duis bibendum felis sed","2021-05-25 04:35:47",0,45.81
47,54,68,69,"enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin","2021-01-14 17:42:56",1,82.33
48,79,12,27,"sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu","2021-02-11 23:04:30",1,47
49,40,22,90,"ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque","2021-04-10 08:18:53",0,57.78
50,73,24,65,"aliquam quis turpis eget elit sodales scelerisque mauris sit","2021-07-10 23:29:59",0,93.54
51,70,51,6,"rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo","2021-04-05 22:24:03",0,54.51
52,97,88,76,"nonummy integer non velit","2021-05-11 17:54:52",0,3.23
53,74,74,37,"est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed","2021-02-13 06:37:12",1,6.23
54,67,38,73,"felis donec semper sapien a libero nam dui proin","2021-05-04 17:20:42",0,90.73
55,26,39,46,"risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam","2020-10-01 16:57:08",1,50.25
56,33,41,65,"mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies","2021-06-02 18:11:46",1,20.28
57,87,78,38,"est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus","2021-02-26 14:16:48",1,91.33
58,2,25,73,"cras mi pede malesuada","2021-02-08 03:21:18",1,97.68
59,9,42,38,"nulla sed vel enim","2020-12-11 10:49:17",0,67.51
60,80,91,22,"odio justo sollicitudin ut suscipit","2020-12-18 18:31:32",1,67.17
61,70,90,31,"lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu","2021-01-18 08:46:20",0,84.7
62,78,14,10,"sapien dignissim vestibulum","2021-07-19 20:08:26",0,76.28
63,59,41,98,"eleifend pede libero quis orci nullam","2021-08-17 09:07:03",0,70.7
64,17,55,64,proin,"2020-10-21 00:10:11",0,11.8
65,51,64,30,"nulla tellus in sagittis","2020-09-29 02:24:31",1,46.99
66,53,99,100,quam,"2020-11-23 16:34:51",1,23.3
67,8,90,86,"arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu","2021-02-24 21:52:03",0,73
68,61,100,56,"eget vulputate ut ultrices vel augue vestibulum","2021-07-29 19:45:32",1,50.7
69,47,78,52,"faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna","2021-01-12 01:22:45",1,43.35
70,99,63,99,"tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor","2021-07-01 03:12:50",0,29.2
71,99,64,67,"dolor morbi vel lectus in quam fringilla","2021-06-24 05:20:57",0,51.62
72,94,13,47,"lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum","2020-09-12 23:49:32",1,8.4
73,20,64,82,"nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus","2021-02-04 07:14:10",1,74.54
74,35,82,99,"lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut","2021-01-14 20:02:04",0,60.2
75,12,22,63,"in felis eu sapien cursus vestibulum proin","2021-05-03 12:41:25",1,4.69
76,78,92,87,"orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in","2021-07-20 16:08:03",0,63.42
77,72,90,87,"sit amet sem fusce","2020-11-30 11:07:15",1,8.68
78,95,32,85,"cras pellentesque volutpat dui maecenas tristique","2020-11-27 06:20:52",1,14.4
79,13,74,60,"eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci","2021-08-20 03:01:08",1,47.68
80,84,88,59,"vivamus tortor duis mattis egestas metus aenean fermentum","2021-08-08 06:24:53",0,49.78
81,11,87,28,"at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec","2021-08-22 13:43:13",1,40.52
82,18,33,36,"pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam","2021-01-24 16:22:22",1,55.1
83,96,10,90,"sem praesent","2021-07-29 04:02:03",0,72.84
84,12,13,7,"quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio","2021-05-13 15:00:51",0,73.04
85,86,29,47,"tortor duis mattis egestas metus aenean fermentum donec ut","2021-03-15 22:25:47",0,36.93
86,45,6,25,"quisque erat eros viverra eget congue eget semper rutrum nulla nunc","2021-06-10 18:07:42",1,97.53
87,89,89,97,"id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget","2020-09-23 14:03:31",1,44.02
88,88,86,64,"erat curabitur gravida nisi at nibh in hac habitasse platea","2020-12-21 18:17:35",1,96.49
89,53,48,65,"venenatis turpis enim blandit mi in porttitor pede justo eu","2020-12-07 19:05:29",0,60.3
90,42,70,14,"suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam","2021-08-23 03:34:06",0,52.88
91,28,9,61,"in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis","2020-12-01 21:01:34",1,73.55
92,57,84,58,"tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi","2020-11-05 07:07:46",0,51.35
93,56,84,56,"accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis","2021-07-27 01:49:14",1,94.15
94,44,78,94,"gravida sem praesent id massa id nisl venenatis","2021-04-09 15:25:52",1,64.11
95,7,44,98,"fermentum donec","2021-08-31 10:27:03",1,2.21
96,50,92,21,"platea dictumst maecenas ut massa","2020-10-20 03:42:38",1,17.98
97,96,31,14,"cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin","2020-12-15 06:51:07",0,46.62
98,99,20,19,"amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis","2021-04-12 05:27:30",0,42.2
99,93,22,86,"cursus id turpis integer aliquet massa id lobortis convallis","2021-04-19 05:33:32",0,16.43
100,18,84,78,"vitae ipsum","2021-09-08 01:40:37",0,27.32
101,43,24,67,"magna ac consequat metus sapien ut nunc vestibulum ante","2021-01-12 08:04:41",0,75.21
102,81,72,22,"nisl aenean lectus","2021-01-27 18:54:32",1,13.99
103,41,17,78,"pede libero quis orci nullam molestie nibh in lectus pellentesque","2020-09-24 13:59:48",1,97.12
104,15,81,68,semper,"2020-12-13 00:53:53",1,37.37
105,4,93,27,"nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed","2021-02-07 22:55:38",0,37.82
106,79,54,66,"venenatis non sodales sed tincidunt eu","2021-08-02 19:53:01",1,33.12
107,61,67,59,"condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu","2020-09-24 21:07:19",0,77.71
108,35,42,10,"ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus","2021-05-19 03:03:27",1,41.7
109,89,95,97,"lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris","2021-04-09 18:40:27",1,16.28
110,1,1,58,"lectus suspendisse potenti in eleifend quam a odio in","2020-12-24 08:46:46",1,85.45
111,34,38,19,"varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla","2021-03-03 11:53:46",1,64.84
112,17,98,21,"amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit","2021-08-13 11:21:21",1,87.89
113,43,15,40,"purus aliquet at feugiat","2020-12-09 09:12:26",1,32.97
114,6,52,19,"at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit","2021-05-06 05:55:31",1,34.55
115,49,20,92,"cras mi pede malesuada in imperdiet et commodo vulputate","2021-02-21 21:52:20",0,94.24
116,91,49,37,"porttitor pede justo eu massa donec dapibus","2021-04-06 13:41:05",0,49.85
117,4,18,34,"lobortis convallis tortor risus dapibus augue vel","2021-06-16 01:47:28",0,48.1
118,18,82,21,"turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget","2020-10-01 21:44:44",1,10.34
119,31,22,10,"amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue","2021-05-22 14:03:32",0,13.22
120,83,11,19,"sit amet erat nulla tempus vivamus in felis eu sapien","2021-09-07 15:30:02",0,56.9
121,88,11,83,"nulla quisque arcu libero rutrum ac lobortis vel dapibus","2020-11-11 18:46:33",1,84.75
122,16,82,16,ac,"2021-07-29 19:38:29",1,60.88
123,49,3,69,"mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus","2021-03-04 15:35:43",1,12
124,26,49,3,"vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac","2020-10-13 07:53:33",1,5.27
125,36,38,92,"ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non","2021-02-19 10:24:25",1,29.97
126,13,12,14,"id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem","2020-11-18 21:01:00",1,29.65
127,13,62,67,"primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est","2021-03-12 17:04:47",0,86.12
128,41,78,5,"dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien","2021-07-31 03:26:34",1,45.72
129,5,37,6,"quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum","2021-08-11 01:50:14",0,69.04
130,45,13,7,"a nibh in quis justo maecenas rhoncus aliquam","2021-02-18 06:48:20",0,33.98
131,11,37,78,"aliquam lacus morbi quis tortor","2021-08-20 12:30:09",0,83.39
132,10,52,88,"ridiculus mus","2021-04-27 07:55:50",1,46.73
133,28,63,24,"magna bibendum","2021-02-08 01:30:57",1,51.96
134,79,99,67,"sagittis nam congue","2021-04-29 08:35:09",1,27.07
135,28,87,22,"posuere felis sed lacus morbi sem mauris laoreet ut rhoncus","2021-05-16 20:11:04",0,14.65
136,89,3,52,"erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus","2021-04-10 22:03:21",1,28.69
137,26,73,52,"potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus","2021-01-16 18:32:56",0,13.95
138,76,96,65,"integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in","2020-11-16 16:25:30",0,64.56
139,49,88,39,"hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis","2021-07-06 04:14:43",0,3.94
140,78,44,82,"faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit","2021-08-24 18:40:58",0,26.79
141,64,99,51,"massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo","2020-09-14 06:56:10",0,38.94
142,31,82,26,"consequat nulla nisl nunc nisl duis bibendum felis","2021-01-09 15:22:55",1,26.94
143,11,27,66,"enim blandit mi in porttitor pede justo eu massa","2021-04-07 20:57:50",0,73.24
144,32,26,1,maecenas,"2021-06-08 09:19:55",1,39.28
145,74,29,87,"donec ut","2021-06-04 05:02:09",0,76.62
146,92,1,74,"molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna","2020-09-23 21:17:30",1,43.07
147,72,23,37,"mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at","2020-10-30 18:22:06",0,66.6
148,59,64,60,"duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi","2021-04-29 07:14:19",1,54.25
149,75,17,35,"porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in","2020-10-08 05:41:42",0,12.25
150,64,7,80,"aliquet massa id lobortis","2020-09-29 17:49:36",0,46.45
151,77,61,94,"ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum","2021-01-09 06:46:17",1,90.77
152,8,9,15,"adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit","2021-01-13 05:47:40",1,51.76
153,100,74,17,"tincidunt lacus at velit vivamus vel nulla eget","2021-09-09 02:16:00",0,68.89
154,73,86,66,"mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean","2021-05-29 23:38:17",1,48.78
155,7,71,68,"rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent","2020-10-21 07:20:43",1,16.67
156,10,94,80,"massa quis augue luctus tincidunt nulla","2020-09-23 04:43:12",0,81.21
157,74,43,62,"eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci","2021-08-23 03:45:58",1,13.53
158,59,93,2,"eu massa donec dapibus duis at velit eu est congue","2020-12-06 03:27:57",0,46.39
159,69,73,51,"est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue","2020-12-18 15:07:46",0,26.42
160,53,16,70,"nulla sed vel enim sit amet nunc viverra","2021-05-20 06:23:42",0,23.55
161,21,2,67,"nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet","2021-01-28 11:51:08",1,29.55
162,54,25,35,"pulvinar sed","2021-08-22 01:23:39",0,29.46
163,89,77,24,"ultrices aliquet maecenas","2021-09-07 03:09:57",0,4.61
164,30,97,8,"dis parturient montes nascetur ridiculus mus vivamus vestibulum","2021-04-12 17:21:25",0,14.21
165,88,92,95,"lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio","2021-03-06 16:04:52",1,15.83
166,26,26,29,"turpis a pede posuere nonummy integer non velit donec","2021-08-25 18:47:57",1,93.47
167,31,36,78,"consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus","2021-02-11 05:29:30",1,19.07
168,46,12,9,"ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at","2021-05-30 08:18:35",1,63.19
169,87,78,50,"ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit","2020-10-15 06:10:00",1,27.35
170,92,28,99,"libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis","2021-08-22 20:53:45",0,77.69
171,98,3,100,"et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a","2021-05-25 08:06:19",0,74.98
172,37,9,30,"quam sapien varius ut","2020-12-13 19:08:47",1,99.62
173,90,23,45,"morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum","2021-01-15 20:56:44",1,71.1
174,40,100,37,"montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et","2021-01-05 13:29:09",1,18.89
175,67,20,24,"donec semper","2021-04-26 22:57:52",1,70.22
176,44,95,76,"sapien varius ut blandit non interdum in ante vestibulum ante","2021-04-30 00:20:42",0,4.74
177,74,66,34,"ac lobortis vel dapibus at","2021-03-30 19:00:19",0,12.1
178,43,17,44,"tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor","2021-02-11 21:34:13",1,63.88
179,49,14,45,cursus,"2021-06-17 00:56:04",0,58.53
180,38,67,34,"habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at","2020-10-17 01:38:04",1,85.09
181,33,79,79,"in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est","2021-05-19 06:57:49",1,70.8
182,16,5,76,"velit nec","2021-06-07 13:56:21",0,31.95
183,92,17,34,"sapien cum sociis natoque penatibus et magnis dis","2020-12-21 02:29:28",0,74.33
184,28,24,34,"ante vel ipsum","2021-02-20 07:20:53",1,7.84
185,32,47,96,"dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat","2021-08-06 02:04:12",1,83.57
186,63,96,5,"erat nulla tempus vivamus in felis eu","2021-07-19 08:50:36",1,95.65
187,72,12,9,"sed vel enim","2021-04-24 22:28:56",1,63.96
188,28,69,6,"eleifend pede libero quis","2021-07-03 03:44:50",0,38.05
189,59,75,10,"primis in faucibus orci luctus et","2021-07-09 17:18:23",1,96.24
190,76,77,67,"eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis","2021-02-01 10:12:46",1,20.91
191,29,13,3,"nulla suspendisse potenti cras in purus eu magna vulputate luctus cum","2021-07-15 05:11:05",1,22.09
192,32,18,45,"vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus","2021-01-06 04:47:37",0,80.89
193,19,70,81,"ante ipsum","2021-06-22 01:02:00",1,28.39
194,73,53,76,quam,"2021-03-03 11:48:43",0,19.25
195,67,74,33,"tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra","2021-04-20 19:26:34",0,19.2
196,11,93,2,"ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor","2021-07-19 23:39:34",1,33.38
197,18,32,72,"odio in hac habitasse platea dictumst maecenas ut massa","2020-09-10 02:53:49",1,26.69
198,50,14,85,"cursus vestibulum proin eu mi","2021-03-15 19:50:46",0,54.84
199,94,81,10,"sapien varius ut blandit non interdum","2021-02-15 01:38:30",1,3
200,89,62,64,"platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis","2020-10-12 09:50:11",0,2.81
201,73,39,73,"interdum venenatis turpis enim blandit mi in porttitor pede justo","2021-07-01 03:35:54",1,64.93
202,25,29,8,"ultrices posuere cubilia curae nulla dapibus dolor","2021-04-08 02:00:09",1,80.32
203,49,66,99,"amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate","2021-03-06 01:46:27",1,39.02
204,24,66,100,"quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse","2021-05-24 02:22:18",1,69.43
205,95,9,73,"nulla tempus vivamus in felis eu sapien cursus","2020-10-13 03:41:48",0,96.67
206,53,82,79,"est risus auctor sed tristique","2020-09-25 16:43:48",1,23.15
207,74,94,32,"congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque","2021-01-03 19:53:51",0,86.5
208,89,16,87,"in tempus","2020-11-06 00:36:43",1,85.59
209,100,92,1,"aenean lectus pellentesque eget nunc donec","2021-05-24 18:58:57",0,73.51
210,60,92,56,"mi in porttitor pede justo eu massa donec dapibus duis at","2021-05-23 12:25:19",0,82.57
211,2,56,49,"interdum venenatis","2020-12-28 04:32:26",1,65.39
212,72,59,23,"sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum","2021-02-03 12:27:41",1,75.46
213,42,37,61,"luctus et ultrices posuere cubilia curae","2021-05-09 21:30:07",1,58.46
214,95,85,17,"nibh in hac habitasse platea","2021-02-06 13:25:52",0,69.06
215,4,49,56,"ac leo pellentesque ultrices mattis odio donec","2021-05-19 01:47:45",0,2.07
216,99,23,91,"venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum","2020-10-28 23:47:28",0,19.56
217,92,63,87,"morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum","2021-05-22 17:33:49",1,20.86
218,83,93,95,"sed augue aliquam erat volutpat in congue etiam","2021-01-25 14:32:39",1,10.66
219,38,55,4,"quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus","2020-12-04 18:16:49",1,78.79
220,92,66,89,"auctor gravida sem praesent id massa id nisl venenatis lacinia aenean","2020-10-05 07:29:56",0,82.91
221,29,90,91,"pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat","2021-05-11 18:02:30",1,90.24
222,38,88,97,"tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in","2020-12-06 08:02:54",0,93.71
223,77,86,15,"luctus et","2020-12-13 00:06:53",1,69.85
