_id,productName,sellerId,productCategory,productCondition,brand,features.type,features.size,features.color,description,productPrice,productImage,addTime,productStatus,numberOfVisit,tag[2]
1,"Bread - Sticks, Thin, Plain",420,game console,Old,IKEA,,,Mauv,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,16.48,http://dummyimage.com/206x100.png/ff4444/ffffff,"{""$date"":""2021-05-01T05:40:45.000Z""}",Sold,246,
2,Wild Boar - Tenderloin,175,others,New,Fujitsu,ultrabook,S,,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,61.06,http://dummyimage.com/249x100.png/5fa2dd/ffffff,"{""$date"":""2021-04-29T11:58:44.000Z""}",Unsold,80,
3,Toamtoes 6x7 Select,295,laptop,New,Samsung,,,,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,82.99,http://dummyimage.com/128x100.png/5fa2dd/ffffff,"{""$date"":""2021-01-13T06:29:24.000Z""}",Sold,249,
4,Oats Large Flake,360,others,New,MSI,ultrabook,38,,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,39.55,http://dummyimage.com/111x100.png/cc0000/ffffff,"{""$date"":""2021-08-20T12:50:37.000Z""}",Sold,267,
5,Beets - Mini Golden,479,clothes,Old,Apple,jeans,S,Indigo,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,3.41,http://dummyimage.com/177x100.png/5fa2dd/ffffff,"{""$date"":""2021-02-03T14:32:05.000Z""}",Sold,137,
6,Wine - Pinot Noir Stoneleigh,461,mobile,Old,MSI,,,Turquoise,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,58.53,http://dummyimage.com/236x100.png/5fa2dd/ffffff,"{""$date"":""2021-07-06T23:17:38.000Z""}",Sold,217,
7,"Nut - Almond, Blanched, Sliced",52,laptop,Old,ASUS,jeans,XXL,Blue,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,48.6,http://dummyimage.com/215x100.png/ff4444/ffffff,"{""$date"":""2021-03-02T16:07:16.000Z""}",Sold,115,
8,Sprouts - Brussel,11,game console,Old,Acer,sweater,20,,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,50.87,http://dummyimage.com/138x100.png/ff4444/ffffff,"{""$date"":""2021-07-11T11:05:08.000Z""}",Unsold,103,
9,Cheese - Brick With Onion,155,clothes,New,LG,gaming,36,Pink,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,6.43,,"{""$date"":""2021-01-17T23:54:03.000Z""}",Sold,225,
10,"Tart Shells - Sweet, 2",411,PC,New,MSI,,,Crimson,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,44.18,http://dummyimage.com/167x100.png/ff4444/ffffff,"{""$date"":""2021-06-08T21:28:07.000Z""}",Unsold,126,
11,Pepper - Roasted Red,218,game console,New,Apple,sweater,L,Violet,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,85.43,,"{""$date"":""2020-11-14T21:17:36.000Z""}",Sold,188,
12,Potatoes - Pei 10 Oz,41,furniture,Old,LG,,,Goldenrod,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,54.3,http://dummyimage.com/188x100.png/ff4444/ffffff,"{""$date"":""2021-09-27T22:07:47.000Z""}",Sold,134,
13,"Hickory Smoke, Liquid",256,clothes,Old,Prada,gaming,M,Indigo,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,10.53,http://dummyimage.com/193x100.png/dddddd/000000,"{""$date"":""2021-04-30T16:33:59.000Z""}",Sold,37,
14,"Rum - Cream, Amarula",304,others,New,ASUS,ultrabook,38,Goldenrod,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,35.91,http://dummyimage.com/146x100.png/ff4444/ffffff,"{""$date"":""2021-03-26T08:36:50.000Z""}",Unsold,489,
15,Wine - Montecillo Rioja Crianza,500,clothes,Old,Acer,,,,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,75.07,,"{""$date"":""2021-08-14T15:07:41.000Z""}",Sold,192,
16,Cheese - Asiago,297,others,Old,Nike,gaming,15,Purple,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,85.77,http://dummyimage.com/210x100.png/ff4444/ffffff,"{""$date"":""2020-12-08T00:01:00.000Z""}",Sold,11,
17,Bread - 10 Grain,343,others,Old,Google,gaming,40,Red,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,69.24,http://dummyimage.com/214x100.png/cc0000/ffffff,"{""$date"":""2021-07-04T15:14:55.000Z""}",Unsold,414,
18,"Soup - Beef Conomme, Dry",249,mobile,New,Samsung,gaming,XXL,Mauv,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,1.7,http://dummyimage.com/122x100.png/5fa2dd/ffffff,"{""$date"":""2021-06-17T16:53:25.000Z""}",Unsold,234,
