productID,productName,userID,productCategory,productCondition,brand,features,description,productPrice,productImage,addTime,productStatus,numberOfVisit
1,Lotstring,165,1,New,"Hammes LLC","ultrices vel augue","morbi ut odio cras mi pede",93.55,http://dummyimage.com/114x100.png/dddddd/000000,"2021-03-16 19:56:21",unSold,50
2,Alpha,554,3,Old,"Gislason Inc","dictumst maecenas ut massa quis augue","Sed sed mauris vitae ex tempor porttitor quis a felis. Donec hendrerit volutpat ornare. Phasellus vitae rhoncus lacus. Donec vel.",35.78,http://dummyimage.com/135x100.png/5fa2dd/ffffff,"2020-02-02 23:43:01",Sold,57
3,Toughjoyfax,648,2,Old,Purdy-Stracke,"aliquam non mauris morbi non lectus aliquam","metus sapien ut nunc vestibulum",6.33,http://dummyimage.com/153x100.png/ff4444/ffffff,"2020-11-21 02:37:38",Sold,45
4,Zamit,23,4,Old,Windler-Gleason,"rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus",NULL,71.86,http://dummyimage.com/158x100.png/cc0000/ffffff,"2021-02-19 01:37:00",unSold,66
5,Lotstring,963,5,Old,"Rippin, McKenzie and Stanton","integer tincidunt ante",lobortis,18.25,NULL,"2020-09-14 11:00:01",unSold,82
6,Fixflex,911,6,Old,"Windler, Wintheiser and Hilll",ac,NULL,90.65,http://dummyimage.com/159x100.png/dddddd/000000,"2021-01-08 13:51:45",Sold,45
7,Flexidy,804,1,Old,Spencer-O'Keefe,"neque aenean auctor gravida sem praesent id",NULL,50.03,http://dummyimage.com/169x100.png/5fa2dd/ffffff,"2021-01-17 08:18:16",unSold,33
8,Transcof,140,7,New,Fadel-Wilkinson,"a suscipit nulla elit ac nulla sed vel enim","et ultrices",39.54,http://dummyimage.com/134x100.png/ff4444/ffffff,"2021-07-18 14:43:48",Sold,74
9,Lotlux,947,7,Old,"Murazik, Nienow and Veum","in felis eu sapien cursus","vulputate luctus cum sociis natoque penatibus et magnis",60.97,http://dummyimage.com/104x100.png/5fa2dd/ffffff,"2021-01-16 07:44:11",unSold,62
10,Keylex,896,1,Old,Rodriguez-O'Kon,"id consequat in consequat ut","eros viverra eget congue eget semper",74.5,http://dummyimage.com/121x100.png/dddddd/000000,"2020-05-03 20:45:56",Sold,66
11,Treeflex,603,6,Old,"Rohan LLC","hac habitasse platea","etiam faucibus cursus urna ut tellus",45.93,http://dummyimage.com/158x100.png/dddddd/000000,"2020-08-18 13:16:02",Sold,82
12,Ventosanzap,690,5,Old,"Hettinger, Leffler and Schoen","eget elit sodales","diam nam tristique",50.54,http://dummyimage.com/177x100.png/dddddd/000000,"2020-05-16 13:02:39",Sold,85
13,Tampflex,43,2,New,"O'Hara, Breitenberg and Brekke","urna pretium nisl ut volutpat sapien arcu sed augue aliquam","consequat varius integer ac leo",93.79,http://dummyimage.com/210x100.png/5fa2dd/ffffff,"2020-06-22 05:55:29",Sold,87
14,Subin,931,7,New,"Larson, Smitham and Harvey",odio,"curae duis faucibus",26.17,http://dummyimage.com/110x100.png/ff4444/ffffff,"2021-05-27 15:11:03",unSold,57
15,Tempsoft,783,5,New,"Kiehn, Emard and Lindgren","tempus sit amet sem fusce consequat nulla nisl nunc","interdum venenatis turpis enim blandit mi in porttitor pede",17.51,http://dummyimage.com/124x100.png/ff4444/ffffff,"2021-08-19 22:17:09",unSold,45
16,Y-find,896,9,Old,Greenholt-Welch,NULL,"a feugiat et eros vestibulum ac est lacinia",85.45,http://dummyimage.com/100x100.png/cc0000/ffffff,"2021-04-25 22:40:59",Sold,97
17,Zontrax,925,3,Old,"Kilback, Von and Hahn","amet diam in magna bibendum imperdiet",NULL,37.72,http://dummyimage.com/178x100.png/ff4444/ffffff,"2021-08-06 06:13:21",Sold,21
18,Flexidy,721,4,Old,Cronin-Wisoky,NULL,"eget elit sodales",52.18,http://dummyimage.com/160x100.png/dddddd/000000,"2021-01-26 08:05:18",unSold,36
19,Redhold,817,5,Old,Cruickshank-Walsh,NULL,"lacinia sapien quis libero nullam sit amet turpis elementum",10.61,http://dummyimage.com/184x100.png/cc0000/ffffff,"2020-03-06 02:47:00",Sold,54
20,Transcof,491,2,Old,"Yost, Heidenreich and Yundt",NULL,NULL,13.56,http://dummyimage.com/177x100.png/5fa2dd/ffffff,"2020-03-30 10:10:32",unSold,41
21,Y-find,569,3,Old,Braun-Roberts,"id sapien in sapien iaculis congue vivamus","erat nulla tempus vivamus in felis eu sapien cursus",9.1,http://dummyimage.com/156x100.png/cc0000/ffffff,"2020-10-11 17:12:31",unSold,75
22,Aerified,52,4,New,Sauer-Hammes,"dolor vel est donec odio justo sollicitudin ut suscipit","in lectus pellentesque at nulla suspendisse",18.86,http://dummyimage.com/220x100.png/dddddd/000000,"2021-06-13 06:16:55",Sold,73
23,Lotlux,517,1,Old,"Volkman and Sons","morbi vestibulum velit id pretium iaculis","luctus et ultrices posuere cubilia curae",21.94,http://dummyimage.com/202x100.png/dddddd/000000,"2021-03-10 01:36:07",unSold,65
24,Tin,447,2,New,"Bechtelar, Franecki and Grant",NULL,"sociis natoque penatibus et magnis dis",73.92,http://dummyimage.com/236x100.png/cc0000/ffffff,"2021-06-17 16:39:40",Sold,56
